Scientific Name,Common Name,Family,Taxonomic Group
Surniculus lugubris,Drongo Cuckoo,Cuculidae,Birds
Bradypterus thoracicus,Spotted Bush-Warbler,Sylviidae,Birds
Anthus sylvanus,Upland Pipit,Motacillidae,Birds
Hemixos flavala,Ashy Bulbul,Pycnonotidae,Birds
Sitta cashmirensis,Kashmir Nuthatch,Sittidae,Birds
Pitta brachyura,Indian Pitta,Pittidae,Birds
Aythya nyroca,Ferruginous Pochard,Anatidae,Birds
Coturnix japonica,Japanese Quail,Phasianidae,Birds
Leptoptilos javanicus,Lesser Adjutant,Ciconiidae,Birds
Hemipus picatus,Bar-Winged Flycatcher-Shrike,Campephagidae,Birds
Carpodacus nipalensis,Dark-Breasted Rosefinch,Fringillidae,Birds
Phylloscopus trochiloides,Greenish Warbler,Sylviidae,Birds
Phylloscopus subviridis,Brooks' Leaf-Warbler,Sylviidae,Birds
Butorides striata,Green-Backed Heron,Ardeidae,Birds
Chaimarrornis leucocephalus,River Chat,Muscicapidae,Birds
Bubo bubo,Eurasian Eagle Owl,Strigidae,Birds
Cacomantis passerinus,Grey Bellied Cuckoo,Cuculidae,Birds
Seicercus burkii,Yellow-Eyed Flycatcher-Warbler,Sylviidae,Birds
Asio otus,Long-Eared Owl,Strigidae,Birds
Montifringilla blanfordi,Blanford's Snowfinch,Passeridae,Birds
Cettia fortipes,Brownish-Flanked Bush-Warbler,Sylviidae,Birds
Ardea purpurea,Purple Heron,Ardeidae,Birds
Leucosticte nemoricola,Plain Mountain-Finch,Fringillidae,Birds
Lanius excubitor,Great Grey Shrike,Laniidae,Birds
Dicaeum chrysorrheum,Yellow-Vented Flowerpecker,Dicaeidae,Birds
